date,0_5,6_12,13_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-03-02,0,0,0,0,0,0,0,0,0,1,0
2020-03-03,0,0,0,0,0,0,0,1,2,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,1,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,1,0,1
2020-03-07,1,0,0,0,0,1,2,0,0,0,0
2020-03-08,0,0,0,0,0,1,2,0,2,0,1
2020-03-09,0,0,0,0,0,0,2,2,1,0,0
2020-03-10,0,0,0,0,2,2,0,0,1,3,0
2020-03-11,0,0,0,1,0,1,0,1,3,5,1
2020-03-12,0,0,0,0,3,2,6,8,3,5,2
2020-03-13,0,0,0,1,3,7,1,5,1,4,0
2020-03-14,0,0,0,3,2,3,4,4,6,3,6
2020-03-15,0,0,1,1,1,2,6,3,2,4,3
2020-03-16,0,0,0,2,4,5,4,7,5,6,3
2020-03-17,0,0,0,0,3,1,5,6,5,13,5
2020-03-18,0,0,0,3,2,9,13,4,7,10,2
2020-03-19,0,0,0,0,0,4,5,4,2,5,1
2020-03-20,0,0,0,6,7,16,21,13,14,35,20
2020-03-21,0,0,1,5,7,16,10,4,13,10,6
2020-03-22,0,0,1,1,2,3,7,2,3,4,3
2020-03-23,0,0,0,1,1,7,9,3,5,7,2
2020-03-24,1,0,0,3,5,5,10,7,11,12,1
2020-03-25,0,0,0,1,3,8,9,2,9,11,3
2020-03-26,0,0,0,4,17,17,30,8,6,15,6
2020-03-27,0,0,0,2,3,6,10,6,5,7,4
2020-03-28,1,0,0,4,7,13,18,4,4,8,1
2020-03-29,0,0,0,3,2,7,5,3,0,3,1
2020-03-30,0,2,0,9,10,10,21,6,11,20,19
2020-03-31,0,0,0,8,21,18,24,7,6,6,10
2020-04-01,0,0,0,3,5,8,11,5,4,5,5
2020-04-02,0,0,0,7,10,13,18,6,6,17,13
2020-04-03,0,0,1,5,11,13,18,5,5,11,9
2020-04-04,0,0,0,2,1,4,4,1,5,4,3
2020-04-05,0,0,0,1,2,5,3,2,1,2,0
2020-04-06,0,1,2,4,5,3,16,5,9,23,13
2020-04-07,0,0,1,12,9,20,16,6,6,11,6
2020-04-08,0,0,1,5,10,10,11,6,3,12,11
2020-04-09,0,0,0,4,3,9,11,5,5,16,20
2020-04-10,3,0,1,4,7,16,7,6,3,5,3
2020-04-11,0,0,1,0,1,1,1,2,2,7,11
2020-04-12,0,0,0,0,0,0,0,1,1,3,1
2020-04-13,0,0,0,0,0,2,5,1,3,12,10
2020-04-14,0,0,2,2,6,10,14,5,5,10,4
2020-04-15,1,1,4,8,2,17,17,9,4,14,12
2020-04-16,2,1,2,2,4,10,8,3,2,6,4
2020-04-17,0,1,2,5,5,15,16,3,3,3,3
