date,80_+,others
2020-02-21,1.0,
2020-02-22,0.0,
2020-02-23,0.0,1.0
2020-02-24,0.0,1.0
2020-02-25,2.0,1.0
2020-02-26,0.0,0.0
2020-02-27,0.0,1.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,1.0,2.0
2020-03-02,4.0,3.0
2020-03-03,5.0,2.0
2020-03-04,1.0,6.0
2020-03-05,5.0,2.0
2020-03-06,3.0,7.0
2020-03-07,6.0,4.0
2020-03-08,4.0,6.0
2020-03-09,5.0,5.0
2020-03-10,4.0,6.0
2020-03-11,3.0,12.0
2020-03-12,7.0,11.0
2020-03-13,4.0,20.0
2020-03-14,6.0,13.0
2020-03-15,4.0,23.0
2020-03-16,1.0,15.0
2020-03-17,9.0,20.0
2020-03-18,10.0,29.0
2020-03-19,9.0,38.0
2020-03-20,5.0,34.0
2020-03-21,3.0,17.0
2020-03-22,3.0,16.0
2020-03-23,5.0,30.0
2020-03-24,8.0,22.0
2020-03-25,6.0,17.0
2020-03-26,9.0,16.0
2020-03-27,13.0,16.0
2020-03-28,11.0,9.0
2020-03-29,2.0,4.0
2020-03-30,4.0,8.0
2020-03-31,6.0,13.0
2020-04-01,5.0,11.0
2020-04-02,5.0,10.0
2020-04-03,3.0,4.0
2020-04-04,2.0,8.0
2020-04-05,4.0,2.0
2020-04-06,1.0,5.0
2020-04-07,5.0,8.0
2020-04-08,5.0,5.0
2020-04-09,4.0,2.0
2020-04-10,9.0,7.0
2020-04-11,9.0,3.0
2020-04-12,5.0,3.0
2020-04-13,2.0,5.0
2020-04-14,3.0,4.0
2020-04-15,3.0,3.0
2020-04-16,0.0,2.0
2020-04-17,2.0,5.0
2020-04-18,3.0,2.0
2020-04-19,0.0,2.0
2020-04-20,3.0,3.0
2020-04-21,1.0,0.0
2020-04-22,7.0,7.0
2020-04-23,2.0,2.0
2020-04-24,0.0,1.0
2020-04-25,3.0,6.0
2020-04-26,0.0,1.0
2020-04-27,3.0,3.0
2020-04-28,3.0,0.0
2020-04-29,4.0,1.0
2020-04-30,1.0,2.0
2020-05-01,1.0,0.0
2020-05-02,2.0,1.0
2020-05-03,0.0,1.0
2020-05-04,0.0,0.0
2020-05-05,1.0,1.0
2020-05-06,3.0,1.0
2020-05-07,1.0,3.0
2020-05-08,3.0,3.0
2020-05-09,1.0,1.0
2020-05-10,1.0,0.0
2020-05-11,0.0,1.0
2020-05-12,0.0,0.0
2020-05-13,2.0,2.0
2020-05-14,5.0,1.0
2020-05-15,5.0,4.0
2020-05-16,3.0,2.0
2020-05-17,0.0,0.0
2020-05-18,0.0,2.0
2020-05-19,0.0,0.0
2020-05-20,1.0,0.0
2020-05-21,2.0,0.0
2020-05-22,0.0,0.0
2020-05-23,0.0,1.0
2020-05-24,0.0,0.0
2020-05-25,0.0,1.0
2020-05-26,1.0,0.0
2020-05-27,0.0,3.0
2020-05-28,0.0,1.0
2020-05-29,0.0,2.0
2020-05-30,1.0,1.0
2020-05-31,1.0,0.0
2020-06-01,0.0,1.0
2020-06-02,1.0,0.0
2020-06-03,1.0,2.0
2020-06-04,0.0,1.0
2020-06-05,1.0,0.0
2020-06-06,1.0,0.0
2020-06-07,0.0,0.0
2020-06-08,0.0,1.0
2020-06-09,0.0,0.0
2020-06-10,0.0,0.0
2020-06-11,0.0,0.0
2020-06-12,1.0,0.0
2020-06-13,0.0,0.0
2020-06-14,0.0,0.0
2020-06-15,0.0,1.0
2020-06-16,1.0,0.0
2020-06-17,0.0,1.0
2020-06-18,0.0,0.0
2020-06-19,0.0,2.0
2020-06-20,2.0,0.0
2020-06-21,0.0,0.0
2020-06-22,0.0,0.0
2020-06-23,0.0,0.0
2020-06-24,0.0,1.0
2020-06-25,0.0,1.0
2020-06-26,0.0,1.0
2020-06-27,0.0,0.0
2020-06-28,0.0,0.0
2020-06-29,0.0,0.0
2020-06-30,0.0,0.0
2020-07-01,1.0,0.0
2020-07-02,0.0,0.0
2020-07-03,2.0,1.0
2020-07-04,0.0,0.0
2020-07-05,1.0,1.0
2020-07-06,0.0,0.0
2020-07-07,2.0,0.0
2020-07-08,0.0,1.0
2020-07-09,0.0,0.0
2020-07-10,0.0,0.0
2020-07-11,0.0,0.0
2020-07-12,0.0,0.0
2020-07-13,0.0,1.0
2020-07-14,1.0,0.0
2020-07-15,0.0,1.0
2020-07-16,2.0,1.0
2020-07-17,0.0,0.0
2020-07-18,0.0,0.0
2020-07-19,0.0,0.0
2020-07-20,0.0,0.0
2020-07-21,0.0,2.0
2020-07-22,1.0,0.0
2020-07-23,0.0,2.0
2020-07-24,0.0,0.0
2020-07-25,0.0,1.0
2020-07-26,0.0,0.0
2020-07-27,0.0,0.0
2020-07-28,0.0,1.0
2020-07-29,1.0,0.0
2020-07-30,0.0,0.0
2020-07-31,0.0,0.0
2020-08-01,1.0,2.0
2020-08-02,0.0,0.0
2020-08-03,0.0,0.0
2020-08-04,0.0,1.0
2020-08-05,1.0,3.0
2020-08-06,0.0,2.0
2020-08-07,0.0,1.0
2020-08-08,0.0,0.0
2020-08-09,0.0,0.0
2020-08-10,0.0,0.0
2020-08-11,0.0,0.0
2020-08-12,0.0,0.0
2020-08-13,0.0,1.0
2020-08-14,1.0,1.0
2020-08-15,0.0,2.0
2020-08-16,0.0,0.0
2020-08-17,0.0,0.0
2020-08-18,0.0,1.0
2020-08-19,0.0,3.0
2020-08-20,0.0,0.0
2020-08-21,0.0,1.0
2020-08-22,0.0,1.0
2020-08-23,1.0,2.0
2020-08-24,0.0,1.0
2020-08-25,0.0,1.0
2020-08-26,2.0,0.0
2020-08-27,0.0,1.0
2020-08-28,0.0,2.0
2020-08-29,1.0,0.0
2020-08-30,0.0,2.0
2020-08-31,0.0,1.0
2020-09-01,0.0,1.0
2020-09-02,1.0,4.0
2020-09-03,0.0,2.0
2020-09-04,1.0,2.0
2020-09-05,0.0,3.0
2020-09-06,0.0,2.0
2020-09-07,1.0,4.0
2020-09-08,0.0,0.0
2020-09-09,0.0,4.0
2020-09-10,1.0,0.0
2020-09-11,1.0,1.0
2020-09-12,2.0,3.0
2020-09-13,0.0,1.0
2020-09-14,2.0,3.0
2020-09-15,0.0,0.0
2020-09-16,1.0,4.0
2020-09-17,0.0,1.0
2020-09-18,0.0,1.0
2020-09-19,1.0,0.0
2020-09-20,1.0,1.0
2020-09-21,1.0,1.0
2020-09-22,0.0,1.0
2020-09-23,0.0,4.0
2020-09-24,0.0,2.0
2020-09-25,1.0,3.0
2020-09-26,1.0,1.0
2020-09-27,0.0,1.0
2020-09-28,0.0,1.0
2020-09-29,1.0,3.0
2020-09-30,0.0,2.0
2020-10-01,2.0,4.0
2020-10-02,1.0,4.0
2020-10-03,0.0,2.0
2020-10-04,1.0,5.0
2020-10-05,0.0,0.0
2020-10-06,1.0,4.0
2020-10-07,1.0,3.0
2020-10-08,0.0,3.0
2020-10-09,0.0,5.0
2020-10-10,1.0,4.0
2020-10-11,0.0,3.0
2020-10-12,0.0,6.0
2020-10-13,2.0,7.0
2020-10-14,2.0,8.0
2020-10-15,3.0,13.0
2020-10-16,5.0,9.0
2020-10-17,3.0,9.0
2020-10-18,4.0,9.0
2020-10-19,3.0,8.0
2020-10-20,5.0,17.0
2020-10-21,2.0,15.0
2020-10-22,8.0,18.0
2020-10-23,7.0,10.0
2020-10-24,8.0,12.0
2020-10-25,9.0,20.0
2020-10-26,11.0,20.0
2020-10-27,6.0,20.0
2020-10-28,7.0,20.0
2020-10-29,9.0,22.0
2020-10-30,9.0,22.0
2020-10-31,14.0,22.0
2020-11-01,6.0,14.0
2020-11-02,10.0,10.0
2020-11-03,12.0,12.0
2020-11-04,30.0,29.0
2020-11-05,11.0,13.0
2020-11-06,14.0,20.0
2020-11-07,15.0,23.0
