data,≥80 anni,altri
2020-03-01,1,1
2020-03-02,0,0
2020-03-03,0,1
2020-03-04,0,1
2020-03-05,0,2
2020-03-06,0,2
2020-03-07,0,3
2020-03-08,1,1
2020-03-09,1,5
2020-03-10,2,8
2020-03-11,7,10
2020-03-12,0,13
2020-03-13,3,15
2020-03-14,2,12
2020-03-15,1,15
2020-03-16,2,15
2020-03-17,5,16
2020-03-18,15,34
2020-03-19,13,25
2020-03-20,13,36
2020-03-21,14,35
2020-03-22,8,29
2020-03-23,12,23
2020-03-24,8,47
2020-03-25,6,27
2020-03-26,5,18
2020-03-27,16,33
2020-03-28,14,28
2020-03-29,10,22
2020-03-30,6,12
2020-03-31,3,22
2020-04-01,7,14
2020-04-02,4,14
2020-04-03,7,13
2020-04-04,5,23
2020-04-05,3,10
2020-04-06,3,7
2020-04-07,7,10
2020-04-08,6,7
2020-04-09,3,5
2020-04-10,3,7
2020-04-11,6,6
2020-04-12,3,6
2020-04-13,4,5
2020-04-14,4,4
2020-04-15,1,2
2020-04-16,4,7
2020-04-17,4,2
2020-04-18,2,4
2020-04-19,3,3
2020-04-20,0,2
2020-04-21,1,3
2020-04-22,5,2
2020-04-23,2,1
2020-04-24,5,2
2020-04-25,2,2
2020-04-26,2,1
2020-04-27,0,4
2020-04-28,2,2
2020-04-29,0,0
2020-04-30,1,0
2020-05-01,2,1
2020-05-02,2,0
2020-05-03,1,1
2020-05-04,0,0
2020-05-05,3,2
2020-05-06,0,0
2020-05-07,0,0
2020-05-08,1,0
2020-05-09,2,1
2020-05-10,2,0
2020-05-11,0,2
2020-05-12,0,0
2020-05-13,2,1
2020-05-14,2,1
2020-05-15,0,1
2020-05-16,0,0
2020-05-17,0,0
2020-05-18,0,1
2020-05-19,1,2
2020-05-20,0,2
2020-05-21,2,0
2020-05-22,0,0
2020-05-23,0,1
2020-05-24,0,0
2020-05-25,1,0
2020-05-26,0,0
2020-05-27,1,0
2020-05-28,0,0
2020-05-29,1,0
2020-05-30,0,0
2020-05-31,0,0
2020-06-01,0,1
2020-06-02,0,0
2020-06-03,2,0
2020-06-04,0,0
2020-06-05,0,0
2020-06-06,0,0
2020-06-07,0,0
2020-06-08,0,1
2020-06-09,0,0
2020-06-10,0,0
2020-06-11,0,0
2020-06-12,0,0
2020-06-13,0,0
2020-06-14,0,0
2020-06-15,0,0
2020-06-16,0,0
2020-06-17,0,0
2020-06-18,0,0
2020-06-19,0,0
2020-06-20,0,0
2020-06-21,0,0
2020-06-22,0,0
2020-06-23,0,0
2020-06-24,0,0
2020-06-25,0,1
2020-06-26,0,0
2020-06-27,0,1
2020-06-28,0,0
2020-06-29,0,0
2020-06-30,0,0
2020-07-01,0,0
2020-07-02,0,0
2020-07-03,0,1
2020-07-04,0,0
2020-07-05,0,0
2020-07-06,1,0
2020-07-07,0,0
2020-07-08,0,0
2020-07-09,0,0
2020-07-10,0,0
2020-07-11,0,1
2020-07-12,0,0
2020-07-13,0,0
2020-07-14,0,0
2020-07-15,0,0
2020-07-16,0,0
2020-07-17,0,0
2020-07-18,0,0
2020-07-19,0,1
2020-07-20,0,0
2020-07-21,0,1
2020-07-22,0,0
2020-07-23,0,0
2020-07-24,0,0
2020-07-25,0,0
2020-07-26,0,0
2020-07-27,0,0
2020-07-28,0,0
2020-07-29,0,0
2020-07-30,0,0
2020-07-31,0,0
2020-08-01,1,0
2020-08-02,0,0
2020-08-03,1,1
2020-08-04,0,0
2020-08-05,0,0
2020-08-06,0,0
2020-08-07,0,2
2020-08-08,0,0
2020-08-09,0,1
2020-08-10,0,1
2020-08-11,0,0
2020-08-12,0,0
2020-08-13,0,0
2020-08-14,0,1
2020-08-15,0,0
2020-08-16,0,0
2020-08-17,0,0
2020-08-18,0,1
2020-08-19,0,0
2020-08-20,0,0
2020-08-21,0,1
2020-08-22,0,0
2020-08-23,0,0
2020-08-24,0,0
2020-08-25,0,1
2020-08-26,0,0
2020-08-27,0,0
2020-08-28,0,2
2020-08-29,0,0
2020-08-30,0,0
2020-08-31,0,2
2020-09-01,0,0
2020-09-02,0,0
2020-09-03,0,0
2020-09-04,1,3
2020-09-05,0,0
2020-09-06,0,0
2020-09-07,0,0
2020-09-08,0,0
2020-09-09,0,2
2020-09-10,0,0
2020-09-11,0,1
2020-09-12,1,1
2020-09-13,0,1
2020-09-14,1,1
2020-09-15,0,0
2020-09-16,1,3
2020-09-17,0,0
2020-09-18,2,0
2020-09-19,0,1
2020-09-20,1,2
2020-09-21,1,0
2020-09-22,0,0
2020-09-23,0,2
2020-09-24,1,0
2020-09-25,0,0
2020-09-26,0,1
2020-09-27,0,0
2020-09-28,0,1
2020-09-29,0,1
2020-09-30,0,4
2020-10-01,1,1
2020-10-02,2,2
2020-10-03,1,1
2020-10-04,0,1
2020-10-05,0,0
2020-10-06,2,3
2020-10-07,0,0
2020-10-08,1,2
2020-10-09,0,5
2020-10-10,3,0
2020-10-11,1,0
2020-10-12,0,0
2020-10-13,1,7
2020-10-14,0,5
2020-10-15,2,3
2020-10-16,1,4
2020-10-17,5,6
2020-10-18,2,5
2020-10-19,2,4
2020-10-20,2,4
2020-10-21,3,3
2020-10-22,3,12
2020-10-23,5,14
2020-10-24,4,3
2020-10-25,7,6
2020-10-26,5,8
2020-10-27,6,6
2020-10-28,7,15
2020-10-29,12,19
2020-10-30,9,19
2020-10-31,5,8
2020-11-01,13,25
2020-11-02,15,20
2020-11-03,15,26
2020-11-04,13,15
2020-11-05,22,9
2020-11-06,8,21
2020-11-07,13,17
2020-11-08,10,14
2020-11-09,10,24
2020-11-10,15,28
2020-11-11,16,24
2020-11-12,15,35
2020-11-13,21,21
2020-11-14,18,19
2020-11-15,12,19
2020-11-16,9,28
2020-11-17,12,26
2020-11-18,26,25
2020-11-19,17,23
2020-11-20,14,28
2020-11-21,24,19
2020-11-22,7,18
