data,operatori sanitari,altri
2020-03-03,1.0,4
2020-03-04,1.0,1
2020-03-05,0.0,6
2020-03-06,0.0,17
2020-03-07,3.0,7
2020-03-08,0.0,7
2020-03-09,2.0,16
2020-03-10,4.0,19
2020-03-11,7.0,32
2020-03-12,9.0,56
2020-03-13,10.0,40
2020-03-14,26.0,34
2020-03-15,7.0,33
2020-03-16,12.0,39
2020-03-17,15.0,61
2020-03-18,36.0,68
2020-03-19,21.0,79
2020-03-20,34.0,82
2020-03-21,29.0,86
2020-03-22,11.0,64
2020-03-23,33.0,99
2020-03-24,32.0,79
2020-03-25,29.0,68
2020-03-26,31.0,85
2020-03-27,21.0,90
2020-03-28,24.0,92
2020-03-29,18.0,96
2020-03-30,13.0,78
2020-03-31,32.0,97
2020-04-01,34.0,98
2020-04-02,18.0,64
2020-04-03,38.0,66
2020-04-04,25.0,66
2020-04-05,13.0,77
2020-04-06,43.0,98
2020-04-07,12.0,73
2020-04-08,31.0,69
2020-04-09,23.0,84
2020-04-10,39.0,120
2020-04-11,13.0,79
2020-04-12,4.0,34
2020-04-13,7.0,34
2020-04-14,17.0,54
2020-04-15,12.0,45
2020-04-16,10.0,61
2020-04-17,9.0,68
2020-04-18,6.0,75
2020-04-19,4.0,34
2020-04-20,15.0,44
2020-04-21,25.0,63
2020-04-22,12.0,27
2020-04-23,23.0,38
2020-04-24,7.0,19
2020-04-25,2.0,16
2020-04-26,3.0,11
2020-04-27,11.0,23
2020-04-28,9.0,41
2020-04-29,14.0,30
2020-04-30,3.0,14
2020-05-01,3.0,24
2020-05-02,3.0,17
2020-05-03,0.0,2
2020-05-04,16.0,22
2020-05-05,8.0,22
2020-05-06,5.0,24
2020-05-07,4.0,9
2020-05-08,10.0,18
2020-05-09,12.0,23
2020-05-10,0.0,9
2020-05-11,1.0,9
2020-05-12,2.0,6
2020-05-13,1.0,9
2020-05-14,2.0,5
2020-05-15,5.0,5
2020-05-16,0.0,0
2020-05-17,2.0,5
2020-05-18,4.0,8
2020-05-19,7.0,3
2020-05-20,7.0,5
2020-05-21,10.0,7
2020-05-22,1.0,15
2020-05-23,0.0,8
2020-05-24,1.0,2
2020-05-25,1.0,1
2020-05-26,1.0,10
2020-05-27,7.0,1
2020-05-28,0.0,1
2020-05-29,0.0,7
2020-05-30,0.0,5
2020-05-31,0.0,2
2020-06-01,0.0,4
2020-06-02,0.0,0
2020-06-03,2.0,3
2020-06-04,0.0,1
2020-06-05,2.0,3
2020-06-06,2.0,1
2020-06-07,0.0,0
2020-06-08,1.0,0
2020-06-09,0.0,0
2020-06-10,0.0,1
2020-06-11,1.0,0
2020-06-12,0.0,0
2020-06-13,0.0,1
2020-06-14,0.0,0
2020-06-15,0.0,0
2020-06-16,1.0,0
2020-06-17,0.0,3
2020-06-18,1.0,0
2020-06-19,1.0,3
2020-06-20,0.0,0
2020-06-21,0.0,0
2020-06-22,0.0,2
2020-06-23,0.0,0
2020-06-24,0.0,1
2020-06-25,0.0,1
2020-06-26,0.0,0
2020-06-27,0.0,0
2020-06-28,0.0,0
2020-06-29,0.0,0
2020-06-30,0.0,0
2020-07-01,1.0,0
2020-07-02,0.0,2
2020-07-03,0.0,3
2020-07-04,0.0,0
2020-07-05,0.0,0
2020-07-06,0.0,0
2020-07-07,0.0,1
2020-07-08,0.0,0
2020-07-09,0.0,4
2020-07-10,0.0,1
2020-07-11,0.0,0
2020-07-12,0.0,0
2020-07-13,0.0,0
2020-07-14,0.0,0
2020-07-15,0.0,1
2020-07-16,1.0,7
2020-07-17,0.0,2
2020-07-18,0.0,5
2020-07-19,0.0,0
2020-07-20,0.0,0
2020-07-21,1.0,4
2020-07-22,0.0,4
2020-07-23,2.0,13
