dt_PRELIEVO,positivi,ricoveri,ricoveri/positivi 7gg
2020-03-02,2,2.0,
2020-03-03,1,1.0,
2020-03-04,4,1.0,
2020-03-05,7,3.0,
2020-03-06,0,0.0,
2020-03-07,0,0.0,
2020-03-08,0,0.0,
2020-03-09,1,1.0,
2020-03-10,0,0.0,
2020-03-11,1,1.0,
2020-03-12,1,1.0,
2020-03-13,0,0.0,
2020-03-14,0,0.0,
2020-03-15,0,0.0,
2020-03-16,4,4.0,
2020-03-17,3,2.0,
2020-03-18,18,11.0,
2020-03-19,4,4.0,0.7913308913308913
2020-03-20,13,6.0,0.7199023199023199
2020-03-21,5,4.0,
2020-03-22,1,1.0,
2020-03-23,6,3.0,
2020-03-24,0,0.0,
2020-03-25,24,5.0,
2020-03-26,12,6.0,
2020-03-27,14,1.0,
2020-03-28,5,1.0,0.21391556622649052
2020-03-29,5,0.0,0.21589969321061755
2020-03-30,10,4.0,0.1444711217820461
2020-03-31,17,2.0,0.17574169452727323
2020-04-01,9,2.0,0.18526550405108275
2020-04-02,7,0.0,
2020-04-03,31,9.0,
2020-04-04,15,4.0,
2020-04-05,0,0.0,
2020-04-06,0,0.0,
2020-04-07,2,0.0,
2020-04-08,8,1.0,
2020-04-09,10,0.0,
2020-04-10,7,1.0,
2020-04-11,6,0.0,
2020-04-12,0,0.0,
2020-04-13,1,0.0,
2020-04-14,5,0.0,
2020-04-15,12,2.0,
2020-04-16,4,0.0,
2020-04-17,1,0.0,
2020-04-18,2,0.0,
2020-04-19,0,0.0,
2020-04-20,1,0.0,
2020-04-21,3,1.0,
2020-04-22,4,0.0,
2020-04-23,1,0.0,
2020-04-24,3,1.0,
2020-04-25,3,1.0,
2020-04-26,0,0.0,
2020-04-27,1,0.0,
2020-04-28,0,0.0,
2020-04-29,2,0.0,
2020-04-30,1,0.0,
2020-05-01,0,0.0,
2020-05-02,0,0.0,
2020-05-03,0,0.0,
2020-05-04,1,0.0,
2020-05-05,3,1.0,
2020-05-06,1,0.0,
2020-05-07,25,4.0,0.12025974025974019
2020-05-08,30,5.0,0.13124875124875118
2020-05-09,11,2.0,0.08362970362970357
2020-05-10,12,0.0,0.08362970362970357
2020-05-11,13,1.0,0.060772560772560706
2020-05-12,6,0.0,0.17982017982017973
2020-05-13,3,0.0,0.16813186813186803
2020-05-14,4,0.0,0.16813186813186803
2020-05-15,1,1.0,
2020-05-16,10,1.0,
2020-05-17,1,0.0,
2020-05-18,0,0.0,
2020-05-19,0,0.0,
2020-05-20,4,1.0,
2020-05-21,5,1.0,
2020-05-22,1,0.0,
2020-05-23,0,0.0,
2020-05-24,0,0.0,
2020-05-25,2,0.0,
2020-05-26,1,0.0,
2020-05-27,1,0.0,
2020-05-28,0,0.0,
2020-05-29,0,0.0,
2020-05-30,0,0.0,
2020-05-31,0,0.0,
2020-06-01,0,0.0,
2020-06-02,0,0.0,
2020-06-03,0,0.0,
2020-06-04,0,0.0,
2020-06-05,0,0.0,
2020-06-06,0,0.0,
2020-06-07,2,0.0,
2020-06-08,1,0.0,
2020-06-09,0,0.0,
2020-06-10,0,0.0,
2020-06-11,0,0.0,
2020-06-12,0,0.0,
2020-06-13,0,0.0,
2020-06-14,0,0.0,
2020-06-15,1,0.0,
2020-06-16,0,0.0,
2020-06-17,1,1.0,
2020-06-18,0,0.0,
2020-06-19,0,0.0,
2020-06-20,2,0.0,
2020-06-21,1,1.0,
2020-06-22,0,0.0,
2020-06-23,0,0.0,
2020-06-24,1,0.0,
2020-06-25,0,0.0,
2020-06-26,0,0.0,
2020-06-27,0,0.0,
2020-06-28,0,0.0,
2020-06-29,0,0.0,
2020-06-30,0,0.0,
2020-07-01,0,0.0,
2020-07-02,0,0.0,
2020-07-03,0,0.0,
2020-07-04,0,0.0,
2020-07-05,0,0.0,
2020-07-06,0,0.0,
2020-07-07,0,0.0,
2020-07-08,0,0.0,
2020-07-09,0,0.0,
2020-07-10,1,1.0,
2020-07-11,0,0.0,
2020-07-12,0,0.0,
2020-07-13,0,0.0,
2020-07-14,0,0.0,
2020-07-15,0,0.0,
2020-07-16,0,0.0,
2020-07-17,0,0.0,
2020-07-18,0,0.0,
2020-07-19,0,0.0,
2020-07-20,0,0.0,
2020-07-21,4,0.0,
2020-07-22,10,0.0,
2020-07-23,3,0.0,
2020-07-24,3,1.0,
2020-07-25,0,0.0,
2020-07-26,3,0.0,
2020-07-27,1,0.0,
2020-07-28,0,0.0,
2020-07-29,1,0.0,
2020-07-30,2,0.0,
2020-07-31,2,0.0,
2020-08-01,2,0.0,
2020-08-02,0,0.0,
2020-08-03,0,0.0,
2020-08-04,1,0.0,
2020-08-05,1,0.0,
2020-08-06,0,0.0,
2020-08-07,0,0.0,
2020-08-08,0,0.0,
2020-08-09,0,0.0,
2020-08-10,0,0.0,
2020-08-11,0,0.0,
2020-08-12,6,0.0,
2020-08-13,0,0.0,
2020-08-14,2,0.0,
2020-08-15,0,0.0,
2020-08-16,9,0.0,
2020-08-17,6,0.0,
2020-08-18,2,1.0,
2020-08-19,5,1.0,
2020-08-20,1,0.0,
2020-08-21,1,0.0,
2020-08-22,0,0.0,
2020-08-23,0,0.0,
2020-08-24,9,1.0,
2020-08-25,0,0.0,
2020-08-26,1,0.0,
2020-08-27,2,0.0,
2020-08-28,1,0.0,
2020-08-29,0,0.0,
2020-08-30,3,1.0,
2020-08-31,0,0.0,
2020-09-01,2,0.0,
2020-09-02,4,1.0,
2020-09-03,1,0.0,
2020-09-04,1,0.0,0.10714285714285703
2020-09-05,3,1.0,0.10714285714285703
2020-09-06,7,0.0,0.07142857142857131
2020-09-07,6,1.0,0.07142857142857131
2020-09-08,3,0.0,0.07142857142857131
2020-09-09,4,0.0,0.059523809523809416
2020-09-10,3,0.0,
2020-09-11,4,0.0,
2020-09-12,4,1.0,
2020-09-13,0,0.0,
2020-09-14,8,1.0,
2020-09-15,1,0.0,
2020-09-16,4,1.0,
2020-09-17,5,1.0,0.1443121693121692
2020-09-18,27,5.0,0.17407407407407396
2020-09-19,4,1.0,0.17407407407407396
2020-09-20,1,0.0,0.13835978835978824
2020-09-21,3,1.0,0.13835978835978824
2020-09-22,5,0.0,0.1119047619047618
2020-09-23,5,0.0,0.07619047619047607
2020-09-24,5,1.0,0.07619047619047607
2020-09-25,5,0.0,0.028571428571428463
2020-09-26,6,0.0,0.0999999999999999
2020-09-27,1,0.0,0.1476190476190475
2020-09-28,6,0.0,
2020-09-29,2,1.0,
2020-09-30,3,1.0,
2020-10-01,0,0.0,
2020-10-02,17,1.0,
2020-10-03,2,0.0,
2020-10-04,4,0.0,
2020-10-05,1,0.0,0.04411764705882344
2020-10-06,12,2.0,0.044642857142857054
2020-10-07,12,1.0,0.05085403726708066
2020-10-08,14,0.0,0.05734754376058716
2020-10-09,16,1.0,0.06833655474959814
2020-10-10,46,2.0,0.04452703094007434
2020-10-11,22,1.0,0.03262226903531244
2020-10-12,26,2.0,0.05303043230061856
2020-10-13,52,0.0,0.07267328944347572
2020-10-14,51,0.0,0.06646210931925212
2020-10-15,21,3.0,0.06372800132198622
2020-10-16,15,3.0,0.05802999562398052
2020-10-17,34,0.0,0.07483671831305615
2020-10-18,38,1.0,0.08420439981188518
2020-10-19,27,1.0,0.1114152841656267
2020-10-20,34,4.0,0.0858200460703886
2020-10-21,61,4.0,0.09534385559419811
2020-10-22,30,10.0,0.10839117978703315
2020-10-23,96,2.0,0.11408918548503887
2020-10-24,75,5.0,0.11017182906878815
2020-10-25,17,2.0,0.11108986185567339
2020-10-26,39,3.0,0.06871327819468606
2020-10-27,133,12.0,0.07039547281166329
2020-10-28,125,9.0,0.07649666328785378
2020-10-29,109,4.0,0.07267695358579114
2020-10-30,92,3.0,0.07393284055596383
2020-10-31,64,7.0,0.07941082122191442
2020-11-01,33,3.0,0.07789703676076154
2020-11-02,105,9.0,0.07798506320781852
2020-11-03,70,9.0,0.07855315895088776
2020-11-04,114,7.0,0.08506095573157187
2020-11-05,134,5.0,0.1435025141731303
2020-11-06,82,3.0,0.14234136005631118
2020-11-07,71,11.0,0.13442697479000953
2020-11-08,8,4.0,0.1366440559544591
2020-11-09,116,9.0,0.1409660752018515
2020-11-10,82,6.0,0.14142141254743273
2020-11-11,117,9.0,0.12837952485765775
2020-11-12,74,5.0,0.09436591941548086
2020-11-13,176,7.0,0.08891201371526973
2020-11-14,110,7.0,0.086210990027292
2020-11-15,42,11.0,0.08786420406988658
2020-11-16,203,8.0,0.08495023889177046
2020-11-17,129,7.0,0.08992940152018682
2020-11-18,113,10.0,0.08780713354426031
2020-11-19,106,5.0,0.145630262795961
2020-11-20,134,10.0,0.1482819981527724
2020-11-21,82,4.0,0.15057470302541914
