date,hospitalizations,intensive_care,intensive_care_/_hospitalizations_7_days_moving_average
2020-02-22,1,1.0,
2020-02-23,1,0.0,
2020-02-24,0,0.0,
2020-02-25,2,0.0,
2020-02-26,0,0.0,
2020-02-27,1,0.0,
2020-02-28,0,0.0,
2020-02-29,1,0.0,
2020-03-01,6,0.0,
2020-03-02,0,0.0,
2020-03-03,8,1.0,
2020-03-04,10,2.0,
2020-03-05,4,2.0,
2020-03-06,11,1.0,0.16655844155844157
2020-03-07,8,2.0,0.17727272727272728
2020-03-08,5,0.0,0.14870129870129872
2020-03-09,6,0.0,0.10448361162646878
2020-03-10,15,3.0,0.11190476190476191
2020-03-11,7,0.0,0.07619047619047618
2020-03-12,21,4.0,0.08571428571428572
2020-03-13,21,3.0,0.09953917050691244
2020-03-14,16,0.0,0.10992878089652283
2020-03-15,30,2.0,0.1258017967695387
2020-03-16,31,3.0,0.11959931577714175
2020-03-17,33,9.0,0.132524485845169
2020-03-18,36,4.0,0.16478255036129802
2020-03-19,34,5.0,0.16418731226605993
2020-03-20,30,7.0,0.17977419217931553
2020-03-21,31,7.0,0.1646226770278004
2020-03-22,32,2.0,0.17553537544049883
2020-03-23,34,7.0,0.16269023738527674
2020-03-24,36,6.0,0.135568084176167
2020-03-25,48,9.0,0.11691546183690872
2020-03-26,35,2.0,0.11639025175287511
2020-03-27,46,2.0,0.1016305016990074
2020-03-28,42,4.0,0.09164586268211032
2020-03-29,17,1.0,0.0730234137025185
2020-03-30,39,4.0,0.07326350974093386
2020-03-31,31,3.0,0.080877214409337
2020-04-01,35,2.0,0.06727177223246625
2020-04-02,17,1.0,0.08743983945935699
2020-04-03,31,3.0,0.09319598807264846
2020-04-04,14,0.0,0.09235811626703472
2020-04-05,15,3.0,0.1010015736499879
2020-04-06,14,2.0,0.11857223827947605
2020-04-07,11,1.0,0.13331878205827788
2020-04-08,17,2.0,0.13331878205827788
2020-04-09,11,2.0,0.1047473534868493
2020-04-10,5,1.0,0.0843391902215432
2020-04-11,9,0.0,0.10196442213248938
2020-04-12,9,0.0,0.13277674706246137
2020-04-13,9,0.0,0.14251700680272109
2020-04-14,14,3.0,0.11394557823129252
2020-04-15,6,2.0,0.13775510204081634
2020-04-16,4,1.0,0.17346938775510207
2020-04-17,5,0.0,0.18775510204081636
2020-04-18,6,1.0,0.17500000000000004
2020-04-19,4,1.0,0.12738095238095243
2020-04-20,10,1.0,0.09166666666666672
2020-04-21,8,1.0,0.09166666666666672
2020-04-22,10,0.0,0.06785714285714292
2020-04-23,6,0.0,
2020-04-24,2,0.0,
2020-04-25,3,0.0,
2020-04-26,0,0.0,
2020-04-27,3,0.0,
2020-04-28,6,1.0,
2020-04-29,3,0.0,
2020-04-30,5,1.0,
2020-05-01,0,0.0,
2020-05-02,1,0.0,
2020-05-03,1,0.0,
2020-05-04,1,0.0,
2020-05-05,1,0.0,5.947623346206196e-17
2020-05-06,1,0.0,5.947623346206196e-17
2020-05-07,4,0.0,5.947623346206196e-17
2020-05-08,3,0.0,5.947623346206196e-17
2020-05-09,3,0.0,5.947623346206196e-17
2020-05-10,3,0.0,5.947623346206196e-17
2020-05-11,3,0.0,5.947623346206196e-17
2020-05-12,4,0.0,5.947623346206196e-17
2020-05-13,1,0.0,
2020-05-14,1,0.0,
2020-05-15,1,0.0,
2020-05-16,0,0.0,
2020-05-17,1,0.0,
2020-05-18,2,0.0,
2020-05-19,1,0.0,
2020-05-20,0,0.0,
2020-05-21,1,1.0,
2020-05-22,0,0.0,
2020-05-23,0,0.0,
2020-05-24,0,0.0,
2020-05-25,2,0.0,
2020-05-26,0,0.0,
2020-05-27,2,0.0,
2020-05-28,0,0.0,
2020-05-29,0,0.0,
2020-05-30,0,0.0,
2020-05-31,0,0.0,
2020-06-01,0,0.0,
2020-06-02,0,0.0,
2020-06-03,0,0.0,
2020-06-04,0,0.0,
2020-06-05,1,0.0,
2020-06-06,1,0.0,
2020-06-07,1,0.0,
2020-06-08,0,0.0,
2020-06-09,0,0.0,
2020-06-10,0,0.0,
2020-06-11,0,0.0,
2020-06-12,0,0.0,
2020-06-13,0,0.0,
2020-06-14,0,0.0,
2020-06-15,0,0.0,
2020-06-16,0,0.0,
2020-06-17,0,0.0,
2020-06-18,2,0.0,
2020-06-19,2,0.0,
2020-06-20,0,0.0,
2020-06-21,1,0.0,
2020-06-22,2,1.0,
2020-06-23,0,0.0,
2020-06-24,4,0.0,
2020-06-25,15,0.0,
2020-06-26,0,0.0,
2020-06-27,1,0.0,
2020-06-28,0,0.0,
2020-06-29,0,0.0,
2020-06-30,1,0.0,
2020-07-01,1,0.0,
2020-07-02,7,0.0,
2020-07-03,4,0.0,0.14285714285714293
2020-07-04,1,1.0,0.14285714285714293
2020-07-05,3,0.0,0.14285714285714293
2020-07-06,1,0.0,
2020-07-07,1,0.0,
2020-07-08,2,0.0,
2020-07-09,0,0.0,
2020-07-10,2,0.0,
2020-07-11,2,0.0,
2020-07-12,2,0.0,
2020-07-13,1,0.0,6.344131569286608e-17
2020-07-14,3,0.0,0.04761904761904768
2020-07-15,3,0.0,0.04761904761904768
2020-07-16,1,0.0,
2020-07-17,6,2.0,
2020-07-18,2,0.0,
2020-07-19,0,0.0,
2020-07-20,4,0.0,
2020-07-21,3,1.0,
2020-07-22,5,1.0,
2020-07-23,3,2.0,0.17142857142857149
2020-07-24,1,0.0,0.17142857142857149
2020-07-25,3,0.0,0.12380952380952388
2020-07-26,1,0.0,0.13095238095238101
2020-07-27,2,0.0,
2020-07-28,2,0.0,
2020-07-29,4,1.0,
2020-07-30,0,0.0,
2020-07-31,0,0.0,
2020-08-01,1,0.0,
2020-08-02,0,0.0,
2020-08-03,2,0.0,
2020-08-04,1,0.0,
2020-08-05,2,0.0,
2020-08-06,1,0.0,
2020-08-07,0,0.0,
2020-08-08,4,0.0,
2020-08-09,3,0.0,
2020-08-10,10,2.0,
2020-08-11,0,0.0,
2020-08-12,7,0.0,
2020-08-13,3,1.0,
2020-08-14,4,0.0,
2020-08-15,2,0.0,0.09761904761904769
2020-08-16,5,0.0,0.09761904761904769
2020-08-17,10,1.0,0.050000000000000065
2020-08-18,4,1.0,0.050000000000000065
2020-08-19,3,0.0,0.050000000000000065
2020-08-20,2,0.0,0.050000000000000065
2020-08-21,7,0.0,0.035714285714285775
2020-08-22,12,0.0,6.344131569286608e-17
2020-08-23,1,0.0,6.344131569286608e-17
2020-08-24,3,0.0,6.344131569286608e-17
2020-08-25,9,0.0,0.04761904761904768
2020-08-26,4,0.0,0.0714285714285715
2020-08-27,9,0.0,0.0714285714285715
2020-08-28,3,1.0,0.0714285714285715
2020-08-29,6,1.0,0.0714285714285715
2020-08-30,4,0.0,0.08571428571428577
2020-08-31,6,0.0,0.08571428571428577
2020-09-01,6,0.0,0.03809523809523816
2020-09-02,10,1.0,0.03214285714285721
2020-09-03,14,0.0,0.03214285714285721
2020-09-04,4,0.0,0.03214285714285721
2020-09-05,8,1.0,0.05000000000000006
2020-09-06,1,0.0,0.07653061224489802
2020-09-07,14,0.0,0.1051020408163266
2020-09-08,8,1.0,0.11609105180533759
2020-09-09,7,2.0,0.11504063163727037
2020-09-10,10,2.0,0.11504063163727037
2020-09-11,13,1.0,0.11504063163727037
2020-09-12,17,2.0,0.11504063163727037
2020-09-13,9,0.0,0.07422430510665812
2020-09-14,8,0.0,0.05517668605903907
2020-09-15,8,1.0,0.044187675070028076
2020-09-16,15,0.0,0.040367965367965435
2020-09-17,15,1.0,0.040367965367965435
2020-09-18,13,0.0,0.040367965367965435
2020-09-19,11,1.0,0.022510822510822575
2020-09-20,9,0.0,0.032034632034632096
2020-09-21,15,0.0,0.0701298701298702
2020-09-22,15,0.0,0.10074211502782938
2020-09-23,15,1.0,0.09527389903329761
2020-09-24,9,3.0,0.12124792500732358
2020-09-25,14,3.0,0.12124792500732358
2020-09-26,19,1.0,0.15186016990528275
2020-09-27,11,2.0,0.1423363603814732
2020-09-28,20,0.0,0.10043159847671133
2020-09-29,14,3.0,0.09362887738827595
2020-09-30,17,0.0,0.08611008039579475
2020-10-01,25,1.0,0.06013605442176878
2020-10-02,12,2.0,0.06829931972789123
2020-10-03,21,0.0,0.049115646258503474
2020-10-04,22,0.0,0.053579931972789194
2020-10-05,35,2.0,0.04786564625850348
2020-10-06,25,2.0,0.04191326530612253
2020-10-07,32,1.0,0.05871998799519816
2020-10-08,24,0.0,0.05871998799519816
2020-10-09,24,3.0,0.0635437356760887
2020-10-10,34,4.0,0.062081941656155146
2020-10-11,35,0.0,0.07144254073449616
2020-10-12,33,3.0,0.08967962280136545
